# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;
1.250850000000000E+009;-2.339801043272018E-001;-3.756135404109955E-001;
1.265800000000000E+009;-3.132777214050293E-001;-3.780577778816223E-001;
1.280750000000000E+009;-3.836577236652374E-001;-3.563926219940186E-001;
1.295700000000000E+009;-4.386760890483856E-001;-3.342367708683014E-001;
1.310650000000000E+009;-4.746961295604706E-001;-2.970200181007385E-001;
1.325600000000000E+009;-5.031902194023132E-001;-2.339444905519486E-001;
1.340550000000000E+009;-5.333542227745056E-001;-1.770708113908768E-001;
1.355500000000000E+009;-5.487071871757507E-001;-1.264416426420212E-001;
1.370450000000000E+009;-5.652862787246704E-001;-8.452228456735611E-002;
1.385400000000000E+009;-5.647978186607361E-001;-6.243675574660301E-002;
1.400350000000000E+009;-5.432746410369873E-001;-2.799044176936150E-002;
1.415300000000000E+009;-5.209683775901794E-001;1.035555917769671E-002;
1.430250000000000E+009;-4.986491799354553E-001;3.784697502851486E-002;
1.445200000000000E+009;-4.890957474708557E-001;7.110897451639175E-002;
1.460150000000000E+009;-4.818635284900665E-001;7.236187905073166E-002;
1.475100000000000E+009;-4.683806598186493E-001;8.492562919855118E-002;
1.490050000000000E+009;-4.400441944599152E-001;1.038380935788155E-001;
1.505000000000000E+009;-4.151688516139984E-001;1.081868633627892E-001;
1.519950000000000E+009;-3.965341746807098E-001;1.372432857751846E-001;
1.534900000000000E+009;-4.028148055076599E-001;1.439830660820007E-001;
1.549850000000000E+009;-4.129183590412140E-001;1.336650997400284E-001;
1.564800000000000E+009;-4.278955161571503E-001;1.326207667589188E-001;
1.579750000000000E+009;-4.261716604232788E-001;1.223412081599236E-001;
1.594700000000000E+009;-4.168137013912201E-001;1.421144902706146E-001;
1.609650000000000E+009;-4.111196994781494E-001;1.689220219850540E-001;
1.624600000000000E+009;-4.285425543785095E-001;1.853754222393036E-001;
1.639550000000000E+009;-4.483282566070557E-001;2.093257457017899E-001;
1.654500000000000E+009;-4.630751013755798E-001;2.100806981325150E-001;
1.669450000000000E+009;-4.507880210876465E-001;2.234883159399033E-001;
1.684400000000000E+009;-4.277555346488953E-001;2.459632307291031E-001;
1.699350000000000E+009;-3.977206349372864E-001;2.708001136779785E-001;
1.714300000000000E+009;-3.738433420658112E-001;3.201090991497040E-001;
1.729250000000000E+009;-3.612139821052551E-001;3.441246449947357E-001;
1.744200000000000E+009;-3.427797555923462E-001;3.501290678977966E-001;
1.759150000000000E+009;-3.225965201854706E-001;3.472372293472290E-001;
1.774100000000000E+009;-2.952857911586762E-001;3.380415439605713E-001;
1.789050000000000E+009;-2.515097558498383E-001;3.484425246715546E-001;
1.804000000000000E+009;-2.388102412223816E-001;3.615560531616211E-001;
1.818950000000000E+009;-2.370731532573700E-001;3.472642600536346E-001;
1.833900000000000E+009;-2.545084953308106E-001;3.400669693946838E-001;
1.848850000000000E+009;-2.596503794193268E-001;3.154398798942566E-001;
